age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,salary,remote_work
45,No,non travel,1238.0,Research & Development,1,1,Other,1,1712.0,3,Male,74.0,2,3,Healthcare Representative,3,Unknown,10748.0,3395,3,No,23,4,4,40,1,25.0,3,2.0,23,14,4,1978,445680.0,No
33,No,Unknown,515.0,Research & Development,1,2,Life Sciences,1,73.0,1,Female,98.0,3,3,Research Director,4,Single,6463.92,15146,1,Yes,12,3,3,40,0,15.0,1,3.0,15,8,12,1990,185400.0,Yes
47,No,Unknown,202.0,Research & Development,2,2,Other,1,820.0,3,Female,33.0,3,4,Manager,4,Married,16752.0,12982,1,No,11,3,3,40,1,11.25,3,2.0,26,3,0,1976,72720.0,No
36,No,Unknown,429.0,Research & Development,2,4,Life Sciences,1,1294.0,3,Female,53.0,3,2,Manufacturing Director,2,Single,6463.92,2323,9,Yes,11,3,4,40,0,18.0,2,3.0,16,5,12,1987,154440.0,No
34,No,non travel,802.09,Sales,10,3,Life Sciences,1,1774.0,4,Male,87.0,3,2,Sales Executive,3,Unknown,4001.0,12313,1,Yes,14,3,3,40,1,15.0,3,3.0,15,0,7,1989,288750.68,Yes
41,No,Unknown,802.09,Sales,37,1,Other,1,1815.0,37,Female,81.0,3,3,Sales Executive,3,Divorced,10447.0,26458,0,No,13,3,4,40,1,11.25,3,4.0,22,13,5,1982,288750.68,Yes
47,No,Unknown,1180.0,Research & Development,25,3,Medical,1,1993.0,1,Male,84.0,3,3,Healthcare Representative,3,Unknown,6463.92,13084,2,No,23,4,2,40,0,25.0,3,3.0,17,12,11,1976,424800.0,Yes
53,No,travel rarely,1282.0,Research & Development,5,3,Other,1,32.0,3,Female,58.0,3,5,Manager,3,Unknown,6463.92,10735,4,No,11,3,4,40,1,26.0,3,2.0,14,4,8,1970,461520.0,Yes
35,No,Unknown,776.0,Sales,1,4,Marketing,1,100.0,3,Male,32.0,2,2,Sales Executive,1,Single,6463.92,23016,0,No,14,3,2,40,0,16.0,2,3.0,15,2,8,1988,279360.0,No
46,No,travel rarely,526.0,Sales,1,2,Other,1,244.0,2,Female,92.0,3,3,Sales Executive,1,Divorced,6463.92,2137,1,No,25,4,3,40,3,24.0,2,3.0,24,15,7,1977,189360.0,Yes
43,No,Unknown,1034.0,Research & Development,16,3,Other,1,327.0,4,Female,80.0,3,4,Manager,4,Married,16064.0,7744,5,No,22,4,3,40,1,22.0,3,3.0,17,1,9,1980,372240.0,Yes
36,No,Unknown,1403.0,Research & Development,6,3,Life Sciences,1,373.0,4,Male,47.0,3,1,Laboratory Technician,4,Married,3210.0,20251,0,No,11,3,3,40,1,16.0,4,3.0,15,10,11,1987,505080.0,Yes
40,No,travel frequently,580.0,Sales,5,4,Other,1,729.0,4,Male,48.0,2,3,Sales Executive,1,Married,10475.0,23772,5,Yes,21,4,3,40,1,20.0,2,3.0,18,1,12,1983,208800.0,No
32,No,travel rarely,859.0,Research & Development,4,3,Other,1,830.0,3,Female,98.0,2,2,Manufacturing Director,3,Married,6162.0,19124,1,No,12,3,3,40,1,14.0,3,3.0,14,6,8,1991,309240.0,No
53,No,Unknown,1376.0,Research & Development,2,2,Medical,1,981.0,3,Male,65.97,3,4,Manager,3,Divorced,6463.92,13938,6,No,13,3,3,40,1,22.0,3,4.0,17,15,2,1970,495360.0,No
36,Yes,travel rarely,885.0,Research & Development,16,4,Other,1,1042.0,3,Female,43.0,4,1,Laboratory Technician,1,Single,6463.92,8269,1,No,16,3,3,40,0,18.0,1,3.0,17,15,14,1987,318600.0,Yes
46,No,Unknown,1003.0,Research & Development,8,4,Life Sciences,1,1080.0,4,Female,74.0,2,2,Research Scientist,1,Divorced,4615.0,21029,8,Yes,23,4,1,40,3,11.25,2,3.0,16,1,7,1977,361080.0,No
38,No,travel rarely,1321.0,Sales,1,4,Other,1,1995.0,4,Male,86.0,3,2,Sales Executive,2,Married,6463.92,7636,0,No,15,3,1,40,2,16.0,3,2.77,15,5,8,1985,475560.0,Yes
51,No,Unknown,802.09,Research & Development,1,4,Other,1,145.0,1,Female,30.0,2,3,Healthcare Representative,1,Single,6463.92,25796,3,No,20,4,3,40,0,23.0,1,2.0,13,12,8,1972,288750.68,Yes
43,No,Unknown,394.0,Research & Development,26,2,Other,1,158.0,3,Male,92.0,3,4,Manager,4,Married,16959.0,19494,1,Yes,12,3,4,40,2,25.0,3,4.0,25,4,12,1980,141840.0,Yes
37,No,Unknown,1372.0,Research & Development,1,3,Life Sciences,1,391.0,4,Female,42.0,3,1,Research Scientist,4,Single,6463.92,15881,1,No,12,3,2,40,0,11.25,3,3.0,17,5,7,1986,493920.0,Yes
32,No,travel rarely,802.09,Sales,8,2,Technical Degree,1,436.0,3,Female,65.0,2,2,Sales Executive,2,Married,6463.92,24624,1,Yes,11,3,4,40,0,11.25,2,3.0,13,11,9,1991,288750.68,Yes
46,No,Unknown,228.0,Research & Development,3,3,Life Sciences,1,1527.0,3,Female,51.0,3,4,Manager,2,Unknown,6463.92,11380,8,No,12,3,4,40,1,23.0,2,4.0,13,5,1,1977,82080.0,Yes
43,No,Unknown,823.0,Research & Development,6,3,Medical,1,1866.0,1,Female,81.0,2,5,Manager,3,Married,6463.92,22539,7,No,13,3,4,40,0,21.0,2,3.0,16,6,14,1980,296280.0,Yes
56,No,non travel,667.0,Research & Development,1,4,Life Sciences,1,2026.0,3,Male,57.0,3,2,Healthcare Representative,3,Divorced,6463.92,26236,1,No,21,3,1,40,1,11.25,2,2.0,13,1,9,1967,240120.0,Yes
38,No,Unknown,573.0,Research & Development,6,3,Medical,1,107.0,2,Female,79.0,1,2,Research Scientist,4,Unknown,6463.92,15717,7,No,12,3,4,40,3,17.0,3,3.0,13,1,9,1985,206280.0,Yes
49,No,Unknown,802.09,Research & Development,26,4,Medical,1,170.0,3,Female,96.0,3,2,Manufacturing Director,1,Unknown,6463.92,5549,1,No,14,3,3,40,0,16.0,2,2.0,15,5,11,1974,288750.68,No
40,No,Unknown,630.0,Sales,4,4,Other,1,215.0,3,Male,67.0,2,3,Sales Executive,4,Married,10855.0,8552,7,No,11,3,1,40,1,15.0,2,2.0,12,2,11,1983,226800.0,Yes
36,No,Unknown,802.09,Research & Development,5,2,Other,1,304.0,4,Male,62.0,3,2,Laboratory Technician,2,Single,5914.0,9945,8,No,16,3,4,40,0,16.0,3,4.0,13,3,7,1987,288750.68,Yes
37,No,Unknown,1063.0,Research & Development,25,5,Other,1,529.0,2,Female,72.0,3,2,Research Scientist,3,Married,6463.92,23866,3,Yes,15,3,1,40,2,15.0,2,3.0,13,10,7,1986,382680.0,No
35,No,Unknown,1017.0,Research & Development,6,4,Other,1,691.0,2,Male,82.0,1,2,Research Scientist,4,Unknown,6646.0,19368,1,No,13,3,2,40,0,11.25,3,3.0,17,11,8,1988,366120.0,Yes
33,No,travel frequently,1296.0,Research & Development,6,3,Life Sciences,1,692.0,3,Male,65.97,3,2,Healthcare Representative,4,Divorced,6463.92,5335,3,No,23,4,3,40,1,15.0,2,1.0,13,4,7,1990,466560.0,No
50,No,travel rarely,939.0,Research & Development,24,3,Other,1,1005.0,4,Male,65.97,3,4,Manufacturing Director,3,Married,13973.0,4161,3,Yes,18,3,4,40,1,22.0,2,3.0,12,1,5,1973,338040.0,No
48,No,travel rarely,1355.0,Research & Development,4,4,Other,1,1024.0,3,Male,78.0,2,3,Healthcare Representative,3,Single,6463.92,22245,7,No,14,3,2,40,0,27.0,3,3.0,15,4,8,1975,487800.0,Yes
44,No,travel rarely,1448.0,Sales,28,3,Other,1,1039.0,4,Female,53.0,4,4,Sales Executive,4,Married,13320.0,11737,3,No,18,3,3,40,1,11.25,2,3.0,12,11,11,1979,521280.0,Yes
44,No,travel rarely,200.0,Research & Development,29,4,Other,1,1225.0,4,Male,32.0,3,2,Research Scientist,4,Single,6463.92,7744,1,No,25,4,2,40,0,11.25,3,3.0,20,13,17,1979,72000.0,Yes
40,No,Unknown,1202.0,Research & Development,25,1,Other,1,1375.0,25,Female,89.0,4,2,Healthcare Representative,3,Unknown,6463.92,13888,5,No,20,4,2,40,3,15.0,0,3.0,12,11,8,1983,432720.0,Yes
49,No,Unknown,465.0,Research & Development,6,1,Life Sciences,1,1661.0,3,Female,41.0,2,4,Healthcare Representative,3,Unknown,6463.92,11652,2,No,19,3,2,40,1,11.25,3,3.0,15,2,12,1974,167400.0,Yes
38,No,travel frequently,1189.0,Research & Development,1,3,Life Sciences,1,1668.0,4,Male,90.0,3,2,Research Scientist,4,Unknown,4735.0,9867,7,No,15,3,4,40,2,19.0,4,2.77,13,2,9,1985,428040.0,Yes
33,No,Unknown,802.09,Research & Development,21,3,Other,1,1698.0,2,Male,79.0,4,1,Laboratory Technician,2,Unknown,6463.92,13637,1,No,18,3,4,40,3,14.0,6,2.77,14,2,13,1990,288750.68,Yes
38,No,Unknown,1394.0,Research & Development,8,3,Other,1,1937.0,4,Female,58.0,2,2,Research Scientist,2,Divorced,6463.92,18115,1,No,16,3,3,40,1,20.0,3,3.0,20,0,7,1985,501840.0,No
37,No,travel rarely,161.0,Research & Development,10,3,Life Sciences,1,2017.0,3,Female,42.0,4,3,Research Director,4,Unknown,6463.92,15471,1,Yes,25,4,1,40,1,16.0,2,3.0,16,6,8,1986,57960.0,Yes
30,No,Unknown,288.0,Research & Development,2,3,Other,1,117.0,3,Male,99.0,2,2,Healthcare Representative,4,Married,6463.92,15830,1,No,19,3,1,40,3,11.0,3,3.0,11,10,8,1993,103680.0,Yes
58,No,travel rarely,682.0,Sales,18,4,Other,1,131.0,4,Male,37.0,3,4,Sales Executive,3,Single,13872.0,24409,0,No,13,3,3,40,0,38.0,1,2.0,37,1,8,1965,245520.0,Yes
34,No,travel rarely,1354.0,Research & Development,5,3,Other,1,153.0,3,Female,45.0,2,3,Manager,1,Single,6463.92,5615,2,No,12,3,4,40,0,14.0,6,3.0,11,5,8,1989,487440.0,No
38,No,Unknown,119.0,Sales,3,3,Life Sciences,1,307.0,1,Male,76.0,3,3,Sales Executive,3,Divorced,6463.92,9647,0,No,12,3,3,40,2,11.25,6,2.0,16,5,13,1985,42840.0,Yes
55,No,travel rarely,452.0,Research & Development,1,3,Medical,1,374.0,4,Male,81.0,3,5,Manager,1,Single,19045.0,18938,0,No,14,3,3,40,0,37.0,2,3.0,36,4,13,1968,162720.0,Yes
31,No,Unknown,480.0,Research & Development,30,2,Other,1,524.0,2,Female,31.0,3,2,Manufacturing Director,1,Married,4306.0,4156,1,No,12,3,2,40,1,13.0,5,1.0,13,3,12,1992,172800.0,Yes
50,No,travel rarely,1099.0,Research & Development,27,4,Life Sciences,1,569.0,27,Male,88.0,2,4,Manager,3,Married,17046.0,9314,0,No,15,3,2,40,1,28.0,2,3.0,27,15,7,1973,395640.0,Yes
35,No,Unknown,672.0,Research & Development,25,3,Technical Degree,1,899.0,4,Male,78.0,2,3,Manufacturing Director,2,Married,6463.92,9129,3,No,16,3,1,40,0,11.25,2,3.0,13,4,8,1988,241920.0,No
35,No,Unknown,583.0,Research & Development,25,4,Other,1,1014.0,3,Female,57.0,3,3,Healthcare Representative,3,Divorced,6463.92,6975,1,Yes,11,3,3,40,1,11.25,3,2.0,16,10,1,1988,209880.0,Yes
45,No,Unknown,1050.0,Sales,9,4,Life Sciences,1,1117.0,2,Female,65.0,2,2,Sales Executive,3,Married,6463.92,17970,1,No,13,3,4,40,1,15.0,2,3.0,15,4,12,1978,378000.0,No
33,No,Unknown,117.0,Research & Development,9,3,Medical,1,1238.0,1,Male,60.0,3,1,Research Scientist,4,Married,6463.92,6311,0,No,13,3,2,40,1,15.0,5,3.0,14,4,10,1990,42120.0,No
45,Yes,Unknown,802.09,Research & Development,13,3,Marketing,1,1277.0,1,Female,94.0,1,5,Manager,2,Unknown,6463.92,2493,2,Yes,16,3,1,40,0,26.0,2,3.0,24,1,11,1978,288750.68,Yes
34,No,travel rarely,1440.0,Sales,7,2,Technical Degree,1,1541.0,2,Male,55.0,3,1,Sales Representative,3,Unknown,2308.0,4944,0,Yes,25,4,2,40,1,12.0,4,3.0,11,5,7,1989,518400.0,No
43,No,travel rarely,1291.0,Research & Development,15,2,Other,1,1666.0,3,Male,65.0,2,4,Research Director,3,Unknown,6463.92,3525,1,No,24,4,1,40,1,11.25,3,3.0,14,6,11,1980,464760.0,Yes
34,No,Unknown,1157.0,Research & Development,5,2,Medical,1,1696.0,2,Male,57.0,2,2,Laboratory Technician,4,Unknown,6463.92,11912,1,No,14,3,3,40,1,11.25,3,2.77,15,4,13,1989,416520.0,No
38,No,Unknown,1336.0,Research & Development,2,3,Other,1,1805.0,1,Male,100.0,3,1,Human Resources,2,Divorced,6463.92,7129,5,No,13,3,4,40,3,13.0,3,3.0,11,3,8,1985,480960.0,Yes
34,No,Unknown,735.0,Research & Development,22,4,Other,1,1932.0,3,Male,86.0,2,2,Research Scientist,4,Married,5747.0,26496,1,Yes,15,3,2,40,0,16.0,3,3.0,15,6,11,1989,264600.0,No
32,No,travel rarely,802.09,Sales,31,4,Other,1,2016.0,31,Female,48.0,3,3,Sales Executive,4,Unknown,10422.0,24032,1,No,19,3,3,40,2,14.0,3,3.0,14,5,7,1991,288750.68,Yes
29,No,travel rarely,1389.0,Research & Development,21,4,Life Sciences,1,20.0,2,Female,51.0,4,3,Manufacturing Director,1,Divorced,6463.92,10195,1,No,11,3,3,40,1,10.0,1,3.0,10,8,8,1994,500040.0,No
30,No,Unknown,1240.0,Research & Development,9,3,Other,1,184.0,3,Male,48.0,3,2,Human Resources,4,Married,6347.0,13982,0,Yes,19,3,4,40,0,11.25,2,1.0,11,4,7,1993,446400.0,No
45,No,Unknown,194.0,Research & Development,9,3,Life Sciences,1,206.0,2,Male,60.0,3,2,Laboratory Technician,2,Unknown,2348.0,10901,8,No,18,3,3,40,1,20.0,2,2.77,17,0,15,1978,69840.0,Yes
30,No,travel rarely,1339.0,Sales,5,3,Other,1,228.0,2,Female,41.0,3,3,Sales Executive,4,Unknown,6463.92,8053,2,No,12,3,3,40,1,11.25,2,3.0,10,7,4,1993,482040.0,Yes
30,No,Unknown,111.0,Research & Development,9,3,Other,1,239.0,3,Male,66.0,3,2,Laboratory Technician,1,Unknown,3072.0,11012,1,No,11,3,3,40,2,12.0,4,3.0,12,6,10,1993,39960.0,Yes
34,No,travel frequently,802.09,Research & Development,29,1,Other,1,256.0,4,Male,45.0,2,2,Manufacturing Director,3,Married,6463.92,14074,1,No,17,3,3,40,0,10.0,2,2.0,10,1,9,1989,288750.68,No
34,No,Unknown,470.0,Research & Development,39,4,Life Sciences,1,339.0,39,Male,84.0,2,2,Manufacturing Director,1,Unknown,6463.92,23687,6,No,13,3,2,40,1,13.0,3,3.0,11,5,9,1989,169200.0,Yes
35,No,travel rarely,1232.0,Sales,16,3,Other,1,406.0,3,Male,96.0,3,3,Sales Executive,2,Married,8020.0,5100,0,No,15,3,3,40,2,12.0,3,2.0,11,6,9,1988,443520.0,Yes
39,No,Unknown,117.0,Research & Development,10,1,Other,1,429.0,3,Male,99.0,3,4,Manager,1,Married,17068.0,5355,1,No,14,3,4,40,0,21.0,3,3.0,21,11,10,1984,42120.0,Yes
39,No,Unknown,672.0,Research & Development,7,2,Other,1,444.0,3,Male,54.0,2,5,Manager,4,Married,19272.0,21141,1,No,15,3,1,40,1,11.25,2,3.0,21,13,3,1984,241920.0,Yes
45,No,travel rarely,549.0,Research & Development,8,4,Other,1,452.0,4,Male,75.0,3,2,Research Scientist,4,Unknown,6463.92,9278,9,No,14,3,1,40,2,12.0,3,3.0,10,9,8,1978,197640.0,Yes
30,No,travel rarely,570.0,Sales,5,3,Marketing,1,456.0,4,Female,30.0,2,2,Sales Executive,3,Unknown,6463.92,5431,1,No,13,3,3,40,3,10.0,2,3.0,10,1,2,1993,205200.0,Yes
36,No,Unknown,541.0,Sales,3,4,Medical,1,481.0,1,Male,48.0,2,3,Sales Executive,4,Married,6463.92,7246,4,No,11,3,1,40,1,16.0,2,3.0,13,1,12,1987,194760.0,Yes
36,No,travel rarely,164.0,Sales,2,2,Other,1,513.0,2,Male,61.0,2,3,Sales Executive,3,Married,6463.92,3809,1,No,13,3,2,40,2,10.0,2,3.0,10,9,0,1987,59040.0,Yes
55,No,travel rarely,1117.0,Research & Development,18,5,Other,1,597.0,1,Female,83.0,3,4,Manager,2,Single,6463.92,9873,3,No,23,4,4,40,0,37.0,2,3.0,10,7,7,1968,402120.0,Yes
35,No,Unknown,619.0,Sales,1,3,Other,1,600.0,2,Male,85.0,3,2,Sales Executive,3,Unknown,6463.92,18659,9,No,11,3,3,40,0,15.0,2,3.0,11,6,9,1988,222840.0,Yes
52,No,travel rarely,956.0,Research & Development,6,2,Other,1,630.0,4,Male,78.0,3,2,Research Scientist,1,Divorced,5577.0,22087,3,Yes,12,3,2,40,2,18.0,3,3.0,10,6,9,1971,344160.0,Yes
49,No,Unknown,1245.0,Research & Development,18,4,Life Sciences,1,638.0,4,Male,58.0,2,5,Research Director,3,Unknown,6463.92,2125,1,Yes,17,3,3,40,1,11.25,5,3.0,31,0,9,1974,448200.0,Yes
34,No,travel rarely,1397.0,Research & Development,1,5,Other,1,683.0,2,Male,42.0,3,1,Research Scientist,4,Married,2691.0,7660,1,No,12,3,4,40,1,11.25,4,2.0,10,8,8,1989,502920.0,Yes
33,Yes,travel rarely,527.0,Research & Development,1,4,Other,1,780.0,4,Male,63.0,3,1,Research Scientist,4,Single,6463.92,5207,1,No,13,3,3,40,0,10.0,2,2.0,10,7,8,1990,189720.0,No
33,No,Unknown,213.0,Research & Development,7,3,Medical,1,817.0,3,Male,49.0,3,3,Research Director,3,Married,6463.92,25995,0,No,11,3,4,40,0,11.25,3,4.0,13,3,7,1990,76680.0,Yes
53,No,travel rarely,802.09,Research & Development,23,4,Other,1,901.0,4,Female,72.0,3,4,Research Director,4,Unknown,6463.92,20206,6,No,18,3,3,40,0,33.0,0,3.0,12,3,8,1970,288750.68,Yes
49,No,travel rarely,527.0,Research & Development,8,2,Other,1,944.0,1,Female,51.0,3,3,Laboratory Technician,2,Married,7403.0,22477,4,No,11,3,3,40,1,29.0,3,2.0,26,1,7,1974,189720.0,No
35,No,Unknown,882.0,Sales,21,4,Other,1,984.0,21,Male,65.97,3,3,Sales Executive,4,Unknown,6463.92,6812,6,No,13,3,2,40,1,11.25,2,3.0,10,0,8,1988,317520.0,No
38,No,travel rarely,330.0,Research & Development,17,1,Life Sciences,1,1088.0,3,Female,65.0,2,3,Healthcare Representative,3,Married,8823.0,24608,0,No,18,3,1,40,1,20.0,4,2.0,19,1,9,1985,118800.0,No
46,No,Unknown,406.0,Research & Development,3,1,Marketing,1,1124.0,1,Male,65.97,3,4,Manager,3,Married,6463.92,15596,3,No,12,3,4,40,1,11.25,3,3.0,12,4,9,1977,146160.0,No
42,Yes,travel frequently,481.0,Sales,15,3,Life Sciences,1,1167.0,15,Male,44.0,3,4,Sales Executive,1,Single,6463.92,2447,0,No,12,3,2,40,0,11.25,2,2.0,21,13,14,1981,173160.0,Yes
34,No,travel frequently,669.0,Research & Development,1,3,Other,1,1184.0,4,Male,97.0,2,2,Healthcare Representative,1,Single,6463.92,25755,0,No,20,4,3,40,0,14.0,3,3.0,13,4,9,1989,240840.0,Yes
31,No,travel rarely,1062.0,Research & Development,24,3,Medical,1,1252.0,3,Female,96.0,2,2,Healthcare Representative,1,Single,6463.92,17198,1,No,19,3,2,40,0,10.0,2,3.0,10,1,8,1992,382320.0,No
44,No,Unknown,1099.0,Research & Development,5,3,Other,1,1267.0,2,Male,88.0,3,5,Manager,2,Married,18213.0,8751,7,No,11,3,3,40,1,26.0,5,3.0,22,3,10,1979,395640.0,Yes
55,No,non travel,177.0,Research & Development,8,1,Other,1,1278.0,4,Male,37.0,2,4,Healthcare Representative,2,Divorced,13577.0,25592,1,Yes,15,3,4,40,1,11.25,3,3.0,33,15,0,1968,63720.0,No
44,No,travel rarely,1199.0,Research & Development,4,2,Life Sciences,1,1288.0,3,Male,92.0,4,5,Manager,1,Divorced,19190.0,17477,1,No,14,3,4,40,2,11.25,4,2.0,25,14,13,1979,431640.0,No
39,No,Unknown,412.0,Research & Development,13,4,Other,1,1307.0,3,Female,94.0,2,4,Manager,2,Divorced,17123.0,17334,6,Yes,13,3,4,40,2,11.25,4,3.0,19,15,2,1984,148320.0,No
55,No,travel rarely,282.0,Research & Development,2,2,Medical,1,1336.0,4,Female,58.0,1,5,Manager,3,Unknown,19187.0,6992,4,No,14,3,4,40,1,23.0,5,3.0,19,9,11,1968,101520.0,Yes
51,No,Unknown,770.0,Research & Development,5,3,Life Sciences,1,1352.0,3,Male,84.0,3,4,Manager,2,Unknown,6463.92,17588,1,No,11,3,2,40,1,11.25,2,3.0,33,0,10,1972,277200.0,Yes
58,Yes,Unknown,601.0,Research & Development,14,4,Medical,1,1360.0,14,Female,53.0,2,3,Manufacturing Director,1,Married,10008.0,12023,7,No,14,3,4,40,0,11.25,0,2.0,10,5,9,1965,216360.0,Yes
29,No,travel rarely,332.0,Research & Development,17,3,Other,1,1419.0,2,Male,51.0,2,3,Human Resources,1,Single,7988.0,9769,1,No,13,3,1,40,0,11.25,3,2.0,10,0,9,1994,119520.0,No
34,No,Unknown,1326.0,Sales,3,3,Other,1,1478.0,4,Male,81.0,1,2,Sales Executive,1,Single,6463.92,15891,3,No,18,3,4,40,0,15.0,2,3.0,13,3,12,1989,477360.0,Yes
42,No,travel frequently,748.0,Research & Development,9,2,Other,1,1480.0,1,Female,74.0,3,1,Laboratory Technician,4,Unknown,6463.92,16458,1,No,13,3,3,40,0,12.0,3,3.0,12,5,8,1981,269280.0,Yes
34,Yes,travel rarely,790.0,Sales,24,4,Other,1,1489.0,1,Female,40.0,2,2,Sales Executive,2,Single,6463.92,7815,0,Yes,23,4,3,40,0,16.0,2,4.0,15,10,10,1989,284400.0,No
54,No,travel frequently,1050.0,Research & Development,11,4,Medical,1,1520.0,2,Female,87.0,3,4,Manager,4,Unknown,6463.92,24456,3,No,20,3,1,40,1,26.0,2,3.0,14,1,12,1969,378000.0,Yes
34,No,travel rarely,971.0,Sales,1,3,Other,1,1535.0,4,Male,64.0,2,3,Sales Executive,3,Unknown,7083.0,12288,1,No,14,3,4,40,0,11.25,3,3.0,10,8,6,1989,349560.0,No
29,No,Unknown,1370.0,Research & Development,3,1,Medical,1,1586.0,2,Male,87.0,3,1,Laboratory Technician,1,Single,4723.0,16213,1,No,18,3,4,40,0,11.25,3,2.77,10,1,5,1994,493200.0,Yes
35,No,travel rarely,750.0,Research & Development,28,3,Life Sciences,1,1596.0,2,Male,46.0,4,2,Laboratory Technician,3,Unknown,3407.0,25348,1,No,17,3,4,40,2,11.25,3,2.0,10,6,8,1988,270000.0,Yes
35,Yes,Unknown,880.0,Sales,12,4,Other,1,1667.0,4,Male,36.0,3,2,Sales Executive,4,Unknown,6463.92,10414,3,No,24,4,1,40,0,13.0,2,4.0,11,6,7,1988,316800.0,Yes
34,No,travel rarely,678.0,Research & Development,19,3,Life Sciences,1,1701.0,2,Female,35.0,2,1,Research Scientist,4,Married,2929.0,20338,1,No,12,3,2,40,0,10.0,3,3.0,10,8,7,1989,244080.0,Yes
43,No,Unknown,1179.0,Sales,2,3,Other,1,1706.0,4,Male,73.0,3,2,Sales Executive,4,Unknown,6463.92,6069,1,Yes,17,3,1,40,1,10.0,3,3.0,10,8,8,1980,424440.0,No
43,No,travel rarely,574.0,Research & Development,11,3,Life Sciences,1,1971.0,1,Male,30.0,3,3,Healthcare Representative,3,Married,6463.92,16873,1,No,17,3,2,40,1,10.0,1,3.0,10,0,9,1980,206640.0,Yes
42,No,Unknown,802.09,Research & Development,23,2,Other,1,1976.0,4,Male,37.0,2,2,Research Scientist,3,Single,6463.92,14811,1,No,12,3,4,40,0,20.0,2,3.0,20,3,7,1981,288750.68,Yes
40,No,Unknown,692.0,Research & Development,11,3,Technical Degree,1,1985.0,4,Female,73.0,3,2,Laboratory Technician,3,Married,6463.92,26849,1,No,11,3,1,40,1,10.0,2,4.0,10,9,4,1983,249120.0,Yes
56,Yes,Unknown,310.0,Research & Development,7,2,Technical Degree,1,2032.0,4,Male,72.0,3,1,Laboratory Technician,3,Married,6463.92,3666,8,No,11,3,4,40,1,14.0,4,1.0,10,9,8,1967,111600.0,Yes
