age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,salary,remote_work
40,No,travel rarely,1398.0,Research & Development,2,4,Other,1,558.0,3,1,79,3,5,Manager,3,Unknown,18041.0,13022.0,0,Yes,No,14,3.0,4,,0,,2,3.0,20,1,12,1983,1000000000.0,No
58,Yes,travel rarely,286.0,Research & Development,2,4,Other,1,825.0,4,0,31,3,5,Research Director,2,Single,19246.0,25761.0,7,Yes,Yes,12,3.0,4,,0,40.0,2,3.0,31,13,8,1965,1000000000.0,No
45,No,non travel,1238.0,Research & Development,1,1,Other,1,1712.0,3,0,74,2,3,Healthcare Representative,3,Unknown,10748.0,3395.0,3,Yes,No,23,4.0,4,,1,25.0,3,2.0,23,14,4,1978,1000000000.0,No
33,No,Unknown,515.0,Research & Development,1,2,Life Sciences,1,73.0,1,1,98,3,3,Research Director,4,Single,,15146.0,1,Yes,Yes,12,3.0,3,,0,15.0,1,3.0,15,8,12,1990,1000000000.0,Yes
47,No,Unknown,202.0,Research & Development,2,2,Other,1,820.0,3,1,33,3,4,Manager,4,Married,16752.0,12982.0,1,Yes,No,11,3.0,3,80.0,1,,3,2.0,26,3,0,1976,1000000000.0,No
36,No,Unknown,429.0,Research & Development,2,4,Life Sciences,1,1294.0,3,1,53,3,2,Manufacturing Director,2,Single,,2323.0,9,Yes,Yes,11,3.0,4,,0,18.0,2,3.0,16,5,12,1987,1000000000.0,No
34,No,non travel,802.0852348993288,Sales,10,3,Life Sciences,1,1774.0,4,0,87,3,2,Sales Executive,3,Unknown,4001.0,12313.0,1,Yes,Yes,14,3.0,3,,1,15.0,3,3.0,15,0,7,1989,1000000000.0,Yes
41,No,Unknown,802.0852348993288,Sales,37,1,Other,1,1815.0,37,1,81,3,3,Sales Executive,3,Divorced,10447.0,26458.0,0,Yes,No,13,3.0,4,,1,,3,4.0,22,13,5,1982,1000000000.0,Yes
47,No,Unknown,1180.0,Research & Development,25,3,Medical,1,1993.0,1,0,84,3,3,Healthcare Representative,3,Unknown,,13084.0,2,Yes,No,23,4.0,2,,0,25.0,3,3.0,17,12,11,1976,1000000000.0,Yes
53,No,travel rarely,1282.0,Research & Development,5,3,Other,1,32.0,3,1,58,3,5,Manager,3,Unknown,,10735.0,4,Yes,No,11,3.0,4,,1,26.0,3,2.0,14,4,8,1970,1000000000.0,Yes
35,No,Unknown,776.0,Sales,1,4,Marketing,1,100.0,3,0,32,2,2,Sales Executive,1,Single,,23016.0,0,Yes,No,14,,2,80.0,0,16.0,2,3.0,15,2,8,1988,1000000000.0,No
46,No,travel rarely,526.0,Sales,1,2,Other,1,244.0,2,1,92,3,3,Sales Executive,1,Divorced,,2137.0,1,Yes,No,25,4.0,3,,3,24.0,2,3.0,24,15,7,1977,1000000000.0,Yes
43,No,Unknown,1034.0,Research & Development,16,3,Other,1,327.0,4,1,80,3,4,Manager,4,Married,16064.0,7744.0,5,Yes,No,22,4.0,3,,1,22.0,3,3.0,17,1,9,1980,1000000000.0,Yes
36,No,Unknown,1403.0,Research & Development,6,3,Life Sciences,1,373.0,4,0,47,3,1,Laboratory Technician,4,Married,3210.0,20251.0,0,Yes,No,11,3.0,3,,1,16.0,4,3.0,15,10,11,1987,1000000000.0,Yes
40,No,travel frequently,580.0,Sales,5,4,Other,1,729.0,4,0,48,2,3,Sales Executive,1,Married,10475.0,23772.0,5,Yes,Yes,21,4.0,3,80.0,1,20.0,2,3.0,18,1,12,1983,1000000000.0,No
32,No,travel rarely,859.0,Research & Development,4,3,Other,1,830.0,3,1,98,2,2,Manufacturing Director,3,Married,6162.0,19124.0,1,Yes,No,12,3.0,3,80.0,1,14.0,3,3.0,14,6,8,1991,1000000000.0,No
53,No,Unknown,1376.0,Research & Development,2,2,Medical,1,981.0,3,0,Not Available,3,4,Manager,3,Divorced,,13938.0,6,Yes,No,13,3.0,3,,1,22.0,3,4.0,17,15,2,1970,1000000000.0,No
36,Yes,travel rarely,885.0,Research & Development,16,4,Other,1,1042.0,3,1,43,4,1,Laboratory Technician,1,Single,,8269.0,1,Yes,No,16,3.0,3,80.0,0,18.0,1,3.0,17,15,14,1987,1000000000.0,Yes
46,No,Unknown,1003.0,Research & Development,8,4,Life Sciences,1,1080.0,4,1,74,2,2,Research Scientist,1,Divorced,4615.0,21029.0,8,Yes,Yes,23,4.0,1,,3,,2,3.0,16,1,7,1977,1000000000.0,No
38,No,travel rarely,1321.0,Sales,1,4,Other,1,1995.0,4,0,86,3,2,Sales Executive,2,Married,,7636.0,0,Yes,No,15,3.0,1,,2,16.0,3,,15,5,8,1985,1000000000.0,Yes
51,No,Unknown,802.0852348993288,Research & Development,1,4,Other,1,145.0,1,1,30,2,3,Healthcare Representative,1,Single,,25796.0,3,Yes,No,20,4.0,3,,0,23.0,1,2.0,13,12,8,1972,1000000000.0,Yes
43,No,Unknown,394.0,Research & Development,26,2,Other,1,158.0,3,0,92,3,4,Manager,4,Married,16959.0,19494.0,1,Yes,Yes,12,3.0,4,80.0,2,25.0,3,4.0,25,4,12,1980,1000000000.0,Yes
37,No,Unknown,1372.0,Research & Development,1,3,Life Sciences,1,391.0,4,1,42,3,1,Research Scientist,4,Single,,15881.0,1,Yes,No,12,3.0,2,80.0,0,,3,3.0,17,5,7,1986,1000000000.0,Yes
32,No,travel rarely,802.0852348993288,Sales,8,2,Technical Degree,1,436.0,3,1,65,2,2,Sales Executive,2,Married,,24624.0,1,Yes,Yes,11,3.0,4,80.0,0,,2,3.0,13,11,9,1991,1000000000.0,Yes
46,No,Unknown,228.0,Research & Development,3,3,Life Sciences,1,1527.0,3,1,51,3,4,Manager,2,Unknown,,11380.0,8,Yes,No,12,3.0,4,80.0,1,23.0,2,4.0,13,5,1,1977,1000000000.0,Yes
43,No,Unknown,823.0,Research & Development,6,3,Medical,1,1866.0,1,1,81,2,5,Manager,3,Married,,22539.0,7,Yes,No,13,3.0,4,,0,21.0,2,3.0,16,6,14,1980,1000000000.0,Yes
56,No,non travel,667.0,Research & Development,1,4,Life Sciences,1,2026.0,3,0,57,3,2,Healthcare Representative,3,Divorced,,26236.0,1,Yes,No,21,,1,,1,,2,2.0,13,1,9,1967,1000000000.0,Yes
38,No,Unknown,573.0,Research & Development,6,3,Medical,1,107.0,2,1,79,1,2,Research Scientist,4,Unknown,,15717.0,7,Yes,No,12,3.0,4,,3,17.0,3,3.0,13,1,9,1985,1000000000.0,Yes
49,No,Unknown,802.0852348993288,Research & Development,26,4,Medical,1,170.0,3,1,96,3,2,Manufacturing Director,1,Unknown,,5549.0,1,Yes,No,14,3.0,3,,0,16.0,2,2.0,15,5,11,1974,1000000000.0,No
40,No,Unknown,630.0,Sales,4,4,Other,1,215.0,3,0,67,2,3,Sales Executive,4,Married,10855.0,8552.0,7,Yes,No,11,,1,,1,15.0,2,2.0,12,2,11,1983,1000000000.0,Yes
36,No,Unknown,802.0852348993288,Research & Development,5,2,Other,1,304.0,4,0,62,3,2,Laboratory Technician,2,Single,5914.0,9945.0,8,Yes,No,16,3.0,4,80.0,0,16.0,3,4.0,13,3,7,1987,1000000000.0,Yes
37,No,Unknown,1063.0,Research & Development,25,5,Other,1,529.0,2,1,72,3,2,Research Scientist,3,Married,,23866.0,3,Yes,Yes,15,3.0,1,80.0,2,15.0,2,3.0,13,10,7,1986,1000000000.0,No
35,No,Unknown,1017.0,Research & Development,6,4,Other,1,691.0,2,0,82,1,2,Research Scientist,4,Unknown,6646.0,19368.0,1,Yes,No,13,3.0,2,,0,,3,3.0,17,11,8,1988,1000000000.0,Yes
33,No,travel frequently,1296.0,Research & Development,6,3,Life Sciences,1,692.0,3,0,Not Available,3,2,Healthcare Representative,4,Divorced,,5335.0,3,Yes,No,23,4.0,3,,1,15.0,2,1.0,13,4,7,1990,1000000000.0,No
50,No,travel rarely,939.0,Research & Development,24,3,Other,1,1005.0,4,0,Not Available,3,4,Manufacturing Director,3,Married,13973.0,4161.0,3,Yes,Yes,18,3.0,4,,1,22.0,2,3.0,12,1,5,1973,1000000000.0,No
48,No,travel rarely,1355.0,Research & Development,4,4,Other,1,1024.0,3,0,78,2,3,Healthcare Representative,3,Single,,22245.0,7,Yes,No,14,,2,80.0,0,27.0,3,3.0,15,4,8,1975,1000000000.0,Yes
44,No,travel rarely,1448.0,Sales,28,3,Other,1,1039.0,4,1,53,4,4,Sales Executive,4,Married,13320.0,11737.0,3,Yes,No,18,3.0,3,80.0,1,,2,3.0,12,11,11,1979,1000000000.0,Yes
44,No,travel rarely,200.0,Research & Development,29,4,Other,1,1225.0,4,0,32,3,2,Research Scientist,4,Single,,7744.0,1,Yes,No,25,4.0,2,,0,,3,3.0,20,13,17,1979,1000000000.0,Yes
40,No,Unknown,1202.0,Research & Development,25,1,Other,1,1375.0,25,1,89,4,2,Healthcare Representative,3,Unknown,,13888.0,5,Yes,No,20,4.0,2,,3,15.0,0,3.0,12,11,8,1983,1000000000.0,Yes
49,No,Unknown,465.0,Research & Development,6,1,Life Sciences,1,1661.0,3,1,41,2,4,Healthcare Representative,3,Unknown,,11652.0,2,Yes,No,19,3.0,2,80.0,1,,3,3.0,15,2,12,1974,1000000000.0,Yes
38,No,travel frequently,1189.0,Research & Development,1,3,Life Sciences,1,1668.0,4,0,90,3,2,Research Scientist,4,Unknown,4735.0,9867.0,7,Yes,No,15,3.0,4,80.0,2,19.0,4,,13,2,9,1985,1000000000.0,Yes
33,No,Unknown,802.0852348993288,Research & Development,21,3,Other,1,1698.0,2,0,79,4,1,Laboratory Technician,2,Unknown,,13637.0,1,Yes,No,18,3.0,4,,3,14.0,6,,14,2,13,1990,1000000000.0,Yes
38,No,Unknown,1394.0,Research & Development,8,3,Other,1,1937.0,4,1,58,2,2,Research Scientist,2,Divorced,,18115.0,1,Yes,No,16,3.0,3,,1,20.0,3,3.0,20,0,7,1985,1000000000.0,No
37,No,travel rarely,161.0,Research & Development,10,3,Life Sciences,1,2017.0,3,1,42,4,3,Research Director,4,Unknown,,15471.0,1,Yes,Yes,25,4.0,1,,1,16.0,2,3.0,16,6,8,1986,1000000000.0,Yes
30,No,Unknown,288.0,Research & Development,2,3,Other,1,117.0,3,0,99,2,2,Healthcare Representative,4,Married,,15830.0,1,Yes,No,19,,1,80.0,3,11.0,3,3.0,11,10,8,1993,1000000000.0,Yes
58,No,travel rarely,682.0,Sales,18,4,Other,1,131.0,4,0,37,3,4,Sales Executive,3,Single,13872.0,24409.0,0,Yes,No,13,3.0,3,,0,38.0,1,2.0,37,1,8,1965,1000000000.0,Yes
34,No,travel rarely,1354.0,Research & Development,5,3,Other,1,153.0,3,1,45,2,3,Manager,1,Single,,5615.0,2,Yes,No,12,3.0,4,80.0,0,14.0,6,3.0,11,5,8,1989,1000000000.0,No
38,No,Unknown,119.0,Sales,3,3,Life Sciences,1,307.0,1,0,76,3,3,Sales Executive,3,Divorced,,9647.0,0,Yes,No,12,3.0,3,,2,,6,2.0,16,5,13,1985,1000000000.0,Yes
55,No,travel rarely,452.0,Research & Development,1,3,Medical,1,374.0,4,0,81,3,5,Manager,1,Single,19045.0,18938.0,0,Yes,No,14,3.0,3,,0,37.0,2,3.0,36,4,13,1968,1000000000.0,Yes
31,No,Unknown,480.0,Research & Development,30,2,Other,1,524.0,2,1,31,3,2,Manufacturing Director,1,Married,4306.0,4156.0,1,Yes,No,12,3.0,2,80.0,1,13.0,5,1.0,13,3,12,1992,1000000000.0,Yes
50,No,travel rarely,1099.0,Research & Development,27,4,Life Sciences,1,569.0,27,0,88,2,4,Manager,3,Married,17046.0,9314.0,0,Yes,No,15,3.0,2,,1,28.0,2,3.0,27,15,7,1973,1000000000.0,Yes
35,No,Unknown,672.0,Research & Development,25,3,Technical Degree,1,899.0,4,0,78,2,3,Manufacturing Director,2,Married,,9129.0,3,Yes,No,16,,1,,0,,2,3.0,13,4,8,1988,1000000000.0,No
35,No,Unknown,583.0,Research & Development,25,4,Other,1,1014.0,3,1,57,3,3,Healthcare Representative,3,Divorced,,6975.0,1,Yes,Yes,11,,3,,1,,3,2.0,16,10,1,1988,1000000000.0,Yes
45,No,Unknown,1050.0,Sales,9,4,Life Sciences,1,1117.0,2,1,65,2,2,Sales Executive,3,Married,,17970.0,1,Yes,No,13,3.0,4,80.0,1,15.0,2,3.0,15,4,12,1978,1000000000.0,No
33,No,Unknown,117.0,Research & Development,9,3,Medical,1,1238.0,1,0,60,3,1,Research Scientist,4,Married,,6311.0,0,Yes,No,13,3.0,2,,1,15.0,5,3.0,14,4,10,1990,1000000000.0,No
45,Yes,Unknown,802.0852348993288,Research & Development,13,3,Marketing,1,1277.0,1,1,94,1,5,Manager,2,Unknown,,2493.0,2,Yes,Yes,16,3.0,1,,0,26.0,2,3.0,24,1,11,1978,1000000000.0,Yes
34,No,travel rarely,1440.0,Sales,7,2,Technical Degree,1,1541.0,2,0,55,3,1,Sales Representative,3,Unknown,2308.0,4944.0,0,Yes,Yes,25,4.0,2,,1,12.0,4,3.0,11,5,7,1989,1000000000.0,No
43,No,travel rarely,1291.0,Research & Development,15,2,Other,1,1666.0,3,0,65,2,4,Research Director,3,Unknown,,3525.0,1,Yes,No,24,4.0,1,,1,,3,3.0,14,6,11,1980,1000000000.0,Yes
34,No,Unknown,1157.0,Research & Development,5,2,Medical,1,1696.0,2,0,57,2,2,Laboratory Technician,4,Unknown,,11912.0,1,Yes,No,14,3.0,3,,1,,3,,15,4,13,1989,1000000000.0,No
38,No,Unknown,1336.0,Research & Development,2,3,Other,1,1805.0,1,0,100,3,1,Human Resources,2,Divorced,,7129.0,5,Yes,No,13,3.0,4,,3,13.0,3,3.0,11,3,8,1985,1000000000.0,Yes
34,No,Unknown,735.0,Research & Development,22,4,Other,1,1932.0,3,0,86,2,2,Research Scientist,4,Married,5747.0,26496.0,1,Yes,Yes,15,3.0,2,,0,16.0,3,3.0,15,6,11,1989,1000000000.0,No
32,No,travel rarely,802.0852348993288,Sales,31,4,Other,1,2016.0,31,1,48,3,3,Sales Executive,4,Unknown,10422.0,24032.0,1,Yes,No,19,3.0,3,,2,14.0,3,3.0,14,5,7,1991,1000000000.0,Yes
29,No,travel rarely,1389.0,Research & Development,21,4,Life Sciences,1,20.0,2,1,51,4,3,Manufacturing Director,1,Divorced,,10195.0,1,Yes,No,11,3.0,3,,1,10.0,1,3.0,10,8,8,1994,1000000000.0,No
30,No,Unknown,1240.0,Research & Development,9,3,Other,1,184.0,3,0,48,3,2,Human Resources,4,Married,6347.0,13982.0,0,Yes,Yes,19,3.0,4,80.0,0,,2,1.0,11,4,7,1993,1000000000.0,No
45,No,Unknown,194.0,Research & Development,9,3,Life Sciences,1,206.0,2,0,60,3,2,Laboratory Technician,2,Unknown,2348.0,10901.0,8,Yes,No,18,3.0,3,,1,20.0,2,,17,0,15,1978,1000000000.0,Yes
30,No,travel rarely,1339.0,Sales,5,3,Other,1,228.0,2,1,41,3,3,Sales Executive,4,Unknown,,8053.0,2,Yes,No,12,3.0,3,,1,,2,3.0,10,7,4,1993,1000000000.0,Yes
30,No,Unknown,111.0,Research & Development,9,3,Other,1,239.0,3,0,66,3,2,Laboratory Technician,1,Unknown,3072.0,11012.0,1,Yes,No,11,,3,80.0,2,12.0,4,3.0,12,6,10,1993,1000000000.0,Yes
34,No,travel frequently,802.0852348993288,Research & Development,29,1,Other,1,256.0,4,0,45,2,2,Manufacturing Director,3,Married,,14074.0,1,Yes,No,17,3.0,3,,0,10.0,2,2.0,10,1,9,1989,1000000000.0,No
34,No,Unknown,470.0,Research & Development,39,4,Life Sciences,1,339.0,39,0,84,2,2,Manufacturing Director,1,Unknown,,23687.0,6,Yes,No,13,3.0,2,,1,13.0,3,3.0,11,5,9,1989,1000000000.0,Yes
35,No,travel rarely,1232.0,Sales,16,3,Other,1,406.0,3,0,96,3,3,Sales Executive,2,Married,8020.0,5100.0,0,Yes,No,15,3.0,3,,2,12.0,3,2.0,11,6,9,1988,1000000000.0,Yes
39,No,Unknown,117.0,Research & Development,10,1,Other,1,429.0,3,0,99,3,4,Manager,1,Married,17068.0,5355.0,1,Yes,No,14,,4,,0,21.0,3,3.0,21,11,10,1984,1000000000.0,Yes
39,No,Unknown,672.0,Research & Development,7,2,Other,1,444.0,3,0,54,2,5,Manager,4,Married,19272.0,21141.0,1,Yes,No,15,3.0,1,,1,,2,3.0,21,13,3,1984,1000000000.0,Yes
45,No,travel rarely,549.0,Research & Development,8,4,Other,1,452.0,4,0,75,3,2,Research Scientist,4,Unknown,,9278.0,9,Yes,No,14,3.0,1,80.0,2,12.0,3,3.0,10,9,8,1978,1000000000.0,Yes
30,No,travel rarely,570.0,Sales,5,3,Marketing,1,456.0,4,1,30,2,2,Sales Executive,3,Unknown,,5431.0,1,Yes,No,13,3.0,3,,3,10.0,2,3.0,10,1,2,1993,1000000000.0,Yes
36,No,Unknown,541.0,Sales,3,4,Medical,1,481.0,1,0,48,2,3,Sales Executive,4,Married,,7246.0,4,Yes,No,11,3.0,1,,1,16.0,2,3.0,13,1,12,1987,1000000000.0,Yes
36,No,travel rarely,164.0,Sales,2,2,Other,1,513.0,2,0,61,2,3,Sales Executive,3,Married,,3809.0,1,Yes,No,13,3.0,2,,2,10.0,2,3.0,10,9,0,1987,1000000000.0,Yes
55,No,travel rarely,1117.0,Research & Development,18,5,Other,1,597.0,1,1,83,3,4,Manager,2,Single,,9873.0,3,Yes,No,23,4.0,4,,0,37.0,2,3.0,10,7,7,1968,1000000000.0,Yes
35,No,Unknown,619.0,Sales,1,3,Other,1,600.0,2,0,85,3,2,Sales Executive,3,Unknown,,18659.0,9,Yes,No,11,3.0,3,,0,15.0,2,3.0,11,6,9,1988,1000000000.0,Yes
52,No,travel rarely,956.0,Research & Development,6,2,Other,1,630.0,4,0,78,3,2,Research Scientist,1,Divorced,5577.0,22087.0,3,Yes,Yes,12,,2,,2,18.0,3,3.0,10,6,9,1971,1000000000.0,Yes
49,No,Unknown,1245.0,Research & Development,18,4,Life Sciences,1,638.0,4,0,58,2,5,Research Director,3,Unknown,,2125.0,1,Yes,Yes,17,3.0,3,,1,,5,3.0,31,0,9,1974,1000000000.0,Yes
34,No,travel rarely,1397.0,Research & Development,1,5,Other,1,683.0,2,0,42,3,1,Research Scientist,4,Married,2691.0,7660.0,1,Yes,No,12,3.0,4,80.0,1,,4,2.0,10,8,8,1989,1000000000.0,Yes
33,Yes,travel rarely,527.0,Research & Development,1,4,Other,1,780.0,4,0,63,3,1,Research Scientist,4,Single,,5207.0,1,Yes,No,13,3.0,3,80.0,0,10.0,2,2.0,10,7,8,1990,1000000000.0,No
33,No,Unknown,213.0,Research & Development,7,3,Medical,1,817.0,3,0,49,3,3,Research Director,3,Married,,25995.0,0,Yes,No,11,3.0,4,,0,,3,4.0,13,3,7,1990,1000000000.0,Yes
53,No,travel rarely,802.0852348993288,Research & Development,23,4,Other,1,901.0,4,1,72,3,4,Research Director,4,Unknown,,20206.0,6,Yes,No,18,3.0,3,,0,33.0,0,3.0,12,3,8,1970,1000000000.0,Yes
49,No,travel rarely,527.0,Research & Development,8,2,Other,1,944.0,1,1,51,3,3,Laboratory Technician,2,Married,7403.0,22477.0,4,Yes,No,11,3.0,3,,1,29.0,3,2.0,26,1,7,1974,1000000000.0,No
35,No,Unknown,882.0,Sales,21,4,Other,1,984.0,21,0,Not Available,3,3,Sales Executive,4,Unknown,,6812.0,6,Yes,No,13,3.0,2,80.0,1,,2,3.0,10,0,8,1988,1000000000.0,No
38,No,travel rarely,330.0,Research & Development,17,1,Life Sciences,1,1088.0,3,1,65,2,3,Healthcare Representative,3,Married,8823.0,24608.0,0,Yes,No,18,3.0,1,,1,20.0,4,2.0,19,1,9,1985,1000000000.0,No
46,No,Unknown,406.0,Research & Development,3,1,Marketing,1,1124.0,1,0,Not Available,3,4,Manager,3,Married,,15596.0,3,Yes,No,12,3.0,4,,1,,3,3.0,12,4,9,1977,1000000000.0,No
42,Yes,travel frequently,481.0,Sales,15,3,Life Sciences,1,1167.0,15,0,44,3,4,Sales Executive,1,Single,,2447.0,0,Yes,No,12,,2,,0,,2,2.0,21,13,14,1981,1000000000.0,Yes
34,No,travel frequently,669.0,Research & Development,1,3,Other,1,1184.0,4,0,97,2,2,Healthcare Representative,1,Single,,25755.0,0,Yes,No,20,4.0,3,,0,14.0,3,3.0,13,4,9,1989,1000000000.0,Yes
31,No,travel rarely,1062.0,Research & Development,24,3,Medical,1,1252.0,3,1,96,2,2,Healthcare Representative,1,Single,,17198.0,1,Yes,No,19,,2,,0,10.0,2,3.0,10,1,8,1992,1000000000.0,No
44,No,Unknown,1099.0,Research & Development,5,3,Other,1,1267.0,2,0,88,3,5,Manager,2,Married,18213.0,8751.0,7,Yes,No,11,3.0,3,80.0,1,26.0,5,3.0,22,3,10,1979,1000000000.0,Yes
55,No,non travel,177.0,Research & Development,8,1,Other,1,1278.0,4,0,37,2,4,Healthcare Representative,2,Divorced,13577.0,25592.0,1,Yes,Yes,15,3.0,4,,1,,3,3.0,33,15,0,1968,1000000000.0,No
44,No,travel rarely,1199.0,Research & Development,4,2,Life Sciences,1,1288.0,3,0,92,4,5,Manager,1,Divorced,19190.0,17477.0,1,Yes,No,14,3.0,4,,2,,4,2.0,25,14,13,1979,1000000000.0,No
39,No,Unknown,412.0,Research & Development,13,4,Other,1,1307.0,3,1,94,2,4,Manager,2,Divorced,17123.0,17334.0,6,Yes,Yes,13,3.0,4,,2,,4,3.0,19,15,2,1984,1000000000.0,No
55,No,travel rarely,282.0,Research & Development,2,2,Medical,1,1336.0,4,1,58,1,5,Manager,3,Unknown,19187.0,6992.0,4,Yes,No,14,,4,,1,23.0,5,3.0,19,9,11,1968,1000000000.0,Yes
51,No,Unknown,770.0,Research & Development,5,3,Life Sciences,1,1352.0,3,0,84,3,4,Manager,2,Unknown,,17588.0,1,Yes,No,11,3.0,2,80.0,1,,2,3.0,33,0,10,1972,1000000000.0,Yes
58,Yes,Unknown,601.0,Research & Development,14,4,Medical,1,1360.0,14,1,53,2,3,Manufacturing Director,1,Married,10008.0,12023.0,7,Yes,No,14,3.0,4,80.0,0,,0,2.0,10,5,9,1965,1000000000.0,Yes
29,No,travel rarely,332.0,Research & Development,17,3,Other,1,1419.0,2,0,51,2,3,Human Resources,1,Single,7988.0,9769.0,1,Yes,No,13,3.0,1,,0,,3,2.0,10,0,9,1994,1000000000.0,No
34,No,Unknown,1326.0,Sales,3,3,Other,1,1478.0,4,0,81,1,2,Sales Executive,1,Single,,15891.0,3,Yes,No,18,,4,80.0,0,15.0,2,3.0,13,3,12,1989,1000000000.0,Yes
42,No,travel frequently,748.0,Research & Development,9,2,Other,1,1480.0,1,1,74,3,1,Laboratory Technician,4,Unknown,,16458.0,1,Yes,No,13,3.0,3,,0,12.0,3,3.0,12,5,8,1981,1000000000.0,Yes
34,Yes,travel rarely,790.0,Sales,24,4,Other,1,1489.0,1,1,40,2,2,Sales Executive,2,Single,,7815.0,0,Yes,Yes,23,4.0,3,,0,16.0,2,4.0,15,10,10,1989,1000000000.0,No
54,No,travel frequently,1050.0,Research & Development,11,4,Medical,1,1520.0,2,1,87,3,4,Manager,4,Unknown,,24456.0,3,Yes,No,20,,1,,1,26.0,2,3.0,14,1,12,1969,1000000000.0,Yes
34,No,travel rarely,971.0,Sales,1,3,Other,1,1535.0,4,0,64,2,3,Sales Executive,3,Unknown,7083.0,12288.0,1,Yes,No,14,3.0,4,80.0,0,,3,3.0,10,8,6,1989,1000000000.0,No
29,No,Unknown,1370.0,Research & Development,3,1,Medical,1,1586.0,2,0,87,3,1,Laboratory Technician,1,Single,4723.0,16213.0,1,Yes,No,18,3.0,4,,0,,3,,10,1,5,1994,1000000000.0,Yes
35,No,travel rarely,750.0,Research & Development,28,3,Life Sciences,1,1596.0,2,0,46,4,2,Laboratory Technician,3,Unknown,3407.0,25348.0,1,Yes,No,17,,4,,2,,3,2.0,10,6,8,1988,1000000000.0,Yes
35,Yes,Unknown,880.0,Sales,12,4,Other,1,1667.0,4,0,36,3,2,Sales Executive,4,Unknown,,10414.0,3,Yes,No,24,4.0,1,,0,13.0,2,4.0,11,6,7,1988,1000000000.0,Yes
34,No,travel rarely,678.0,Research & Development,19,3,Life Sciences,1,1701.0,2,1,35,2,1,Research Scientist,4,Married,2929.0,20338.0,1,Yes,No,12,3.0,2,,0,10.0,3,3.0,10,8,7,1989,1000000000.0,Yes
43,No,Unknown,1179.0,Sales,2,3,Other,1,1706.0,4,0,73,3,2,Sales Executive,4,Unknown,,6069.0,1,Yes,Yes,17,3.0,1,,1,10.0,3,3.0,10,8,8,1980,1000000000.0,No
43,No,travel rarely,574.0,Research & Development,11,3,Life Sciences,1,1971.0,1,0,30,3,3,Healthcare Representative,3,Married,,16873.0,1,Yes,No,17,3.0,2,,1,10.0,1,3.0,10,0,9,1980,1000000000.0,Yes
